RT,accuracy,p_correct,correct,action_executed,action_rate,attunement_mean,attunement_std,attunement_final,attunement_min,attunement_max,stress_mean,stress_std,ext_load_mean,mem_load_mean,aff_vol_mean,dominant_mode,PE_mean,PE_max,confidence_mean,trial_number,duration,preset,seed,git_commit,replay_mode_counts.converge,replay_mode_counts.explore,replay_mode_counts.stabilize,stimulus.ext_load_target,stimulus.mem_load_target,stimulus.condition
1212.2037353515625,0.0,0.0,False,True,0.875,0.004102949518710375,0.01892171986401081,3.764750363188796e-05,1.00176244573731e-27,0.1901806741952896,0.6132590770721436,0.11597413569688797,0.5057514309883118,0.4751981496810913,0.0895095095038414,stabilize,0.22356290486117358,0.8619595170021057,0.6486157090961933,14,200,default,56,b52458e,46,7,147,0.3,0.6,ext0.3_mem0.6
1220.469482421875,0.0,0.0,False,True,0.005,0.013730292208492756,0.039664655923843384,7.209515752037987e-05,1.0181398693021038e-06,0.3252525329589844,0.6136868000030518,0.13829246163368225,0.5079684257507324,0.5172966718673706,0.07894349098205566,stabilize,0.196074475653877,0.605209469795227,0.6536848586797714,15,200,default,57,b52458e,42,2,156,0.6,0.6,ext0.6_mem0.6
1196.0947265625,0.0,0.0,False,True,0.035,0.01824239455163479,0.05082780122756958,0.004022581968456507,2.8134397589418825e-11,0.3770597279071808,0.6012381911277771,0.14200495183467865,0.4849803149700165,0.4799547493457794,0.08130891621112823,stabilize,0.2100889965216629,0.825089156627655,0.6587264524400234,16,200,default,58,b52458e,53,5,142,0.3,0.6,ext0.3_mem0.6
1288.578857421875,0.0,0.0,False,True,0.005,0.010816694237291813,0.03483084216713905,0.00025346080656163394,1.38214606426601e-10,0.40447014570236206,0.6098834276199341,0.13403794169425964,0.5140095353126526,0.5154455900192261,0.07550123333930969,stabilize,0.1940201733041431,0.7283728122711182,0.6573076899349689,17,200,default,59,b52458e,38,3,159,0.6,0.3,ext0.6_mem0.3
1170.373046875,0.0,0.0,False,True,0.01,0.01585298590362072,0.05455256626009941,0.0018649711273610592,3.1190202207653783e-06,0.5360215902328491,0.6080249547958374,0.1384829729795456,0.5026394128799438,0.5151718258857727,0.0842791199684143,stabilize,0.19633696255020594,0.7151645421981812,0.6538479468226432,18,200,default,60,b52458e,46,2,152,0.9,0.9,ext0.9_mem0.9
1212.0242919921875,0.0,0.0,False,True,0.02,0.017902398481965065,0.044751375913619995,0.00010378644947195426,2.5219648591701116e-10,0.3205932378768921,0.597823441028595,0.13843555748462677,0.4767172932624817,0.4781494140625,0.07878383249044418,stabilize,0.2113433014776092,0.6829451322555542,0.6616963605582714,19,200,default,61,b52458e,48,5,147,0.6,0.3,ext0.6_mem0.3
1102.6912841796875,0.0,0.0,False,True,0.02,0.018515078350901604,0.04748561233282089,0.0002253460988868028,2.4656277020085327e-10,0.40717047452926636,0.6080341935157776,0.13393133878707886,0.4676189422607422,0.4903954565525055,0.08045858144760132,stabilize,0.18790955967793707,0.7056067585945129,0.6557536266744137,20,200,default,62,b52458e,47,3,150,0.9,0.6,ext0.9_mem0.6
1329.1348876953125,0.0,0.0,False,True,0.01,0.017788326367735863,0.05050462484359741,5.612607492366806e-05,3.0001842676874446e-10,0.4607989490032196,0.6035416126251221,0.13449446856975555,0.4739021956920624,0.47922593355178833,0.08014474809169769,stabilize,0.1850315320334994,0.6961700320243835,0.6581567886471749,21,200,default,63,b52458e,56,3,141,0.6,0.9,ext0.6_mem0.9
1173.5396728515625,0.0,0.0,False,True,0.01,0.030372250825166702,0.0800849050283432,0.009388827718794346,1.0675758858269546e-05,0.5000932812690735,0.6063163876533508,0.13001950085163116,0.4587210714817047,0.4374271333217621,0.07965542376041412,stabilize,0.19574993733022894,0.9499973654747009,0.6570141153037548,22,200,default,64,b52458e,63,3,134,0.9,0.3,ext0.9_mem0.3
1202.9693603515625,0.0,0.0,False,False,0.0,0.01694546639919281,0.050078101456165314,0.0002824664697982371,1.195042841573013e-06,0.35653936862945557,0.6253588795661926,0.1404254138469696,0.49843910336494446,0.4596688449382782,0.07816712558269501,stabilize,0.1992343439033698,0.6465708613395691,0.6482370035350322,23,200,default,65,b52458e,43,1,156,0.6,0.9,ext0.6_mem0.9
1160.459228515625,0.0,0.0,False,True,0.005,0.014449342153966427,0.045392584055662155,0.00038473570020869374,1.4061185993341496e-06,0.4434511959552765,0.6060097217559814,0.1392497420310974,0.5082890391349792,0.5097833871841431,0.07925263047218323,stabilize,0.20337060833435316,0.6846616268157959,0.6573688194155693,24,200,default,66,b52458e,50,3,147,0.9,0.6,ext0.9_mem0.6
1189.34423828125,0.0,0.0,False,True,0.02,0.022913552820682526,0.06057840585708618,0.0008941919659264386,1.1075922080536205e-12,0.47913965582847595,0.5981090664863586,0.13142777979373932,0.49068260192871094,0.47512853145599365,0.08434860408306122,stabilize,0.20121926426130812,0.7649356126785278,0.6587711517512799,25,200,default,67,b52458e,64,5,131,0.3,0.9,ext0.3_mem0.9
1243.0802001953125,0.0,0.0,False,True,0.02,0.016183583065867424,0.03522849455475807,0.0004816306463908404,7.963154875084699e-13,0.21554464101791382,0.6089760065078735,0.1494782567024231,0.48730581998825073,0.4860508441925049,0.07728570699691772,stabilize,0.21726686365594106,0.8187298774719238,0.6568691495060921,26,200,default,68,b52458e,49,4,147,0.3,0.3,ext0.3_mem0.3
1212.9111328125,0.0,0.0,False,True,0.01,0.014236103743314743,0.03182286396622658,0.0014345762319862843,1.338479349057009e-12,0.20308025181293488,0.6049542427062988,0.14207695424556732,0.52565997838974,0.4629693925380707,0.0886484682559967,stabilize,0.20330018193410068,0.6954138875007629,0.6531986445188522,27,200,default,69,b52458e,64,4,132,0.9,0.6,ext0.9_mem0.6
1128.7904052734375,0.0,0.0,False,True,0.01,0.02157026343047619,0.06399219483137131,0.003940579481422901,4.2434864114618016e-15,0.4861435890197754,0.6141569018363953,0.13185404241085052,0.47571831941604614,0.4875214695930481,0.08669252693653107,stabilize,0.18344273366994457,0.7056849598884583,0.649575277864933,28,200,default,70,b52458e,52,3,145,0.9,0.9,ext0.9_mem0.9
