clock,state,replay_mode,num_tagged,num_simulations,attunement_score,schema_stress,preset,vigilance,rt_mean,rt_std,accuracy,precision_ratio,volatility
30,awake,rest,3,3,3,0.187,adhd_typical,0.593,334.0,14.31,1.0,1.094,0.867
31,awake,rest,6,6,1,0.212,adhd_typical,0.592,485.67,78.22,0.25,1.109,0.888
32,awake,rest,7,7,1,0.217,adhd_typical,0.592,441.71,101.22,0.8,1.135,0.922
33,awake,rest,4,4,3,0.175,adhd_typical,0.592,371.25,54.35,,1.133,0.92
34,awake,rest,5,5,0,0.141,adhd_typical,0.592,383.8,70.44,0.5,1.12,0.903
35,awake,rest,6,6,5,0.115,adhd_typical,0.591,393.17,44.77,0.5,1.102,0.877
36,awake,rest,3,3,5,0.112,adhd_typical,0.591,408.0,33.44,1.0,1.089,0.86
37,awake,rest,3,3,2,0.109,adhd_typical,0.591,470.0,26.87,0.0,1.075,0.839
38,awake,rest,4,4,0,0.177,adhd_typical,0.591,389.25,68.25,0.5,1.082,0.85
39,awake,rest,4,4,3,0.224,adhd_typical,0.59,370.0,41.03,1.0,1.082,0.849
40,awake,rest,5,5,2,0.172,adhd_typical,0.59,482.8,138.68,,1.059,0.813
41,awake,rest,3,3,1,0.151,adhd_typical,0.59,447.0,67.28,1.0,1.044,0.79
42,awake,rest,4,4,2,0.206,adhd_typical,0.59,395.0,45.67,0.5,1.064,0.822
43,awake,rest,4,4,1,0.244,adhd_typical,0.589,374.0,24.38,0.5,1.068,0.828
44,awake,rest,5,5,4,0.184,adhd_typical,0.589,413.2,100.68,,1.045,0.792
45,awake,rest,4,4,1,0.229,adhd_typical,0.589,394.5,73.92,1.0,1.057,0.811
46,awake,rest,4,4,3,0.26,adhd_typical,0.589,376.75,41.61,0.667,1.082,0.849
47,awake,rest,2,2,0,0.222,adhd_typical,0.588,492.0,120.0,1.0,1.103,0.88
48,awake,rest,3,3,0,0.185,adhd_typical,0.588,388.67,34.12,0.5,1.102,0.878
49,awake,rest,8,8,0,0.261,adhd_typical,0.588,375.0,41.95,1.0,1.138,0.926
50,awake,rest,4,4,3,0.204,adhd_typical,0.588,395.0,62.61,0.0,1.126,0.911
1,awake,problem_solving,7,7,1,0.735,asd_typical,0.87,571.66,35.76,0.667,5.7,0.615
2,awake,problem_solving,5,5,3,0.92,asd_typical,0.87,555.63,34.74,0.667,5.839,0.663
3,awake,problem_solving,1,1,0,0.92,asd_typical,0.87,542.23,0.0,1.0,5.887,0.679
4,awake,problem_solving,3,3,2,0.92,asd_typical,0.87,553.56,9.88,0.5,5.88,0.676
5,awake,soothing,3,3,5,0.824,asd_typical,0.87,650.9,80.57,1.0,5.861,0.67
6,awake,soothing,3,3,1,0.751,asd_typical,0.87,614.23,11.86,0.0,5.87,0.673
7,awake,soothing,5,5,0,0.743,asd_typical,0.869,611.23,76.14,0.667,5.937,0.694
8,awake,soothing,6,6,3,0.844,asd_typical,0.869,605.06,62.62,0.667,6.07,0.735
9,awake,soothing,1,1,0,0.716,asd_typical,0.869,554.23,0.0,1.0,6.073,0.736
10,awake,rest,2,2,0,0.584,asd_typical,0.869,580.73,30.5,0.5,6.131,0.753
11,awake,rest,2,2,3,0.759,asd_typical,0.869,557.73,15.5,0.5,6.134,0.754
12,awake,rest,5,5,4,0.745,asd_typical,0.869,562.03,9.45,0.5,6.105,0.746
13,awake,rest,5,5,1,0.631,asd_typical,0.869,644.83,79.45,1.0,6.052,0.73
14,awake,rest,5,5,1,0.92,asd_typical,0.869,589.03,72.42,1.0,6.072,0.736
15,awake,soothing,4,4,0,0.671,asd_typical,0.869,630.23,67.92,,6.036,0.725
16,awake,soothing,4,4,1,0.499,asd_typical,0.869,615.98,60.94,,5.97,0.705
17,awake,soothing,2,2,1,0.523,asd_typical,0.869,623.73,51.5,0.0,5.928,0.692
18,awake,soothing,5,5,5,0.714,asd_typical,0.869,584.03,51.57,0.667,5.91,0.686
19,awake,soothing,6,6,4,0.679,asd_typical,0.868,622.06,49.08,0.333,5.876,0.675
20,awake,soothing,5,5,3,0.718,asd_typical,0.868,602.23,50.19,1.0,5.881,0.677
21,awake,rest,6,6,5,0.588,asd_typical,0.868,622.4,56.3,1.0,5.859,0.67
22,awake,rest,7,7,4,0.487,asd_typical,0.868,579.66,67.87,0.0,5.827,0.659
23,awake,rest,4,4,3,0.475,asd_typical,0.868,622.23,116.77,0.0,5.786,0.645
24,awake,rest,3,3,2,0.381,asd_typical,0.868,624.56,38.72,,5.747,0.632
25,awake,rest,4,4,1,0.517,asd_typical,0.868,687.98,97.27,1.0,5.897,0.682
26,awake,soothing,5,5,0,0.819,asd_typical,0.868,663.23,12.92,0.667,6.158,0.761
27,awake,soothing,4,4,1,0.716,asd_typical,0.868,584.23,87.82,1.0,6.155,0.76
28,awake,soothing,5,5,1,0.92,asd_typical,0.868,549.83,33.12,1.0,6.218,0.778
29,awake,soothing,5,5,3,0.92,asd_typical,0.868,611.63,35.35,1.0,6.257,0.788
30,awake,soothing,4,4,1,0.92,asd_typical,0.868,669.23,127.14,0.667,6.265,0.791
31,awake,soothing,5,5,3,0.74,asd_typical,0.868,619.23,38.85,0.0,6.238,0.783
32,awake,soothing,7,7,3,0.92,asd_typical,0.867,608.66,81.8,0.75,6.261,0.789
33,awake,soothing,6,6,3,0.92,asd_typical,0.867,661.9,46.38,0.4,6.326,0.807
34,awake,soothing,3,3,3,0.824,asd_typical,0.867,637.23,91.79,0.5,6.38,0.821
35,awake,soothing,5,5,4,0.822,asd_typical,0.867,564.83,12.96,1.0,6.379,0.821
36,awake,soothing,8,8,3,0.695,asd_typical,0.867,581.73,43.62,0.5,6.305,0.801
37,awake,soothing,4,4,1,0.89,asd_typical,0.867,590.48,48.83,0.667,6.255,0.788
38,awake,soothing,4,4,3,0.92,asd_typical,0.867,639.73,95.55,1.0,6.254,0.788
39,awake,soothing,6,6,2,0.92,asd_typical,0.867,672.06,65.88,0.667,6.369,0.818
40,awake,soothing,4,4,0,0.92,asd_typical,0.867,644.23,118.84,0.0,6.357,0.815
41,awake,soothing,7,7,4,0.92,asd_typical,0.867,598.52,53.2,0.667,6.371,0.819
42,awake,soothing,2,2,1,0.861,asd_typical,0.867,533.23,8.0,1.0,6.345,0.812
43,awake,soothing,4,4,5,0.746,asd_typical,0.867,549.23,25.5,1.0,6.337,0.81
44,awake,soothing,6,6,3,0.732,asd_typical,0.866,667.23,71.77,1.0,6.307,0.802
45,awake,rest,2,2,0,0.596,asd_typical,0.866,721.23,32.0,0.0,6.332,0.808
46,awake,rest,3,3,3,0.469,asd_typical,0.866,584.23,71.42,0.5,6.366,0.817
47,awake,rest,2,2,3,0.534,asd_typical,0.866,550.73,4.5,1.0,6.371,0.819
48,awake,rest,3,3,0,0.558,asd_typical,0.866,601.9,21.75,1.0,6.367,0.817
49,awake,rest,4,4,1,0.514,asd_typical,0.866,665.73,90.38,1.0,6.344,0.812
50,awake,rest,4,4,3,0.391,asd_typical,0.866,546.98,11.84,,6.288,0.797
1,awake,problem_solving,3,3,2,0.704,mdd_typical,0.65,613.37,57.74,1.0,0.697,0.658
2,awake,problem_solving,5,5,5,0.724,mdd_typical,0.65,623.44,41.16,0.5,0.716,0.709
3,awake,problem_solving,4,4,0,0.655,mdd_typical,0.649,619.79,35.27,0.5,0.742,0.774
4,awake,problem_solving,5,5,0,0.692,mdd_typical,0.649,623.84,75.99,0.25,0.761,0.816
5,awake,soothing,5,5,0,0.835,mdd_typical,0.649,608.44,66.96,1.0,0.769,0.833
6,awake,soothing,6,6,4,0.792,mdd_typical,0.649,669.71,158.28,0.667,0.774,0.844
7,awake,soothing,7,7,3,0.725,mdd_typical,0.649,655.18,82.11,0.667,0.775,0.846
8,awake,soothing,5,5,1,0.744,mdd_typical,0.648,648.84,55.21,0.333,0.786,0.867
9,awake,soothing,5,5,0,0.639,mdd_typical,0.648,616.84,34.84,0.5,0.785,0.865
10,awake,rest,4,4,3,0.599,mdd_typical,0.648,631.79,52.72,0.5,0.784,0.864
11,awake,rest,4,4,3,0.832,mdd_typical,0.648,647.54,73.28,0.75,0.797,0.89
12,awake,rest,5,5,3,0.821,mdd_typical,0.648,633.64,61.47,0.667,0.801,0.897
13,awake,rest,6,6,2,0.564,mdd_typical,0.647,577.87,17.25,1.0,0.8,0.894
14,awake,rest,4,4,4,0.534,mdd_typical,0.647,663.04,46.62,0.667,0.798,0.891
15,awake,rest,4,4,2,0.415,mdd_typical,0.647,659.79,34.61,1.0,0.795,0.884
16,awake,rest,4,4,5,0.422,mdd_typical,0.647,582.29,33.83,0.333,0.793,0.881
17,awake,rest,5,5,0,0.502,mdd_typical,0.647,598.04,28.57,0.0,0.797,0.888
18,awake,rest,6,6,0,0.357,mdd_typical,0.646,605.87,31.15,1.0,0.79,0.876
19,awake,rest,6,6,5,0.263,mdd_typical,0.646,627.21,74.52,0.0,0.782,0.86
20,awake,rest,3,3,2,0.23,mdd_typical,0.646,578.04,25.5,,0.776,0.847
21,awake,rest,4,4,2,0.197,mdd_typical,0.646,641.54,34.92,0.5,0.771,0.837
22,awake,rest,6,6,2,0.317,mdd_typical,0.646,687.87,91.04,1.0,0.791,0.877
23,awake,rest,8,8,3,0.468,mdd_typical,0.645,615.29,62.03,0.6,0.8,0.894
24,awake,rest,3,3,3,0.386,mdd_typical,0.645,581.04,10.61,0.0,0.802,0.898
25,awake,rest,4,4,1,0.399,mdd_typical,0.645,590.54,9.6,1.0,0.8,0.895
26,awake,rest,2,2,3,0.349,mdd_typical,0.645,595.04,10.0,0.0,0.797,0.889
27,awake,rest,7,7,2,0.51,mdd_typical,0.645,668.75,87.73,0.75,0.801,0.896
28,awake,rest,5,5,3,0.38,mdd_typical,0.644,606.44,44.26,,0.798,0.891
29,awake,rest,2,2,1,0.334,mdd_typical,0.644,627.54,66.5,1.0,0.793,0.882
30,awake,rest,5,5,1,0.343,mdd_typical,0.644,615.44,50.8,0.5,0.792,0.879
31,awake,rest,7,7,4,0.402,mdd_typical,0.644,619.61,63.15,0.75,0.796,0.887
32,awake,rest,5,5,0,0.306,mdd_typical,0.644,627.64,59.79,,0.793,0.881
33,awake,rest,3,3,1,0.355,mdd_typical,0.643,613.71,28.19,0.5,0.79,0.876
34,awake,rest,5,5,0,0.362,mdd_typical,0.643,620.84,60.38,0.0,0.787,0.87
35,awake,rest,6,6,0,0.553,mdd_typical,0.643,624.04,92.18,0.333,0.784,0.863
